post_id,post_name,post_type,post_author,post_date,guid,URL
19724,cypress-tx-ppc-management,page,2,8/25/2020 3:43,https://websiteurl.com/?page_id=19724,https://websiteurl.com/cypress-tx-ppc-management/
20698,cypress-tx-ppc-management,post,2,10/26/2020 11:00,https://websiteurl.com/?page_id=20698,https://websiteurl.com/blog/cypress-tx-ppc-management/
17145,digital-marketing,page,2,8/3/2020 19:09,https://websiteurl.com/?page_id=17145,https://websiteurl.com/seo-services/digital-marketing/
16357,digital-marketing,post,2,8/3/2020 11:00,https://websiteurl.com/?page_id=16357,https://websiteurl.com/blog/digital-marketing/
